URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/entertainment/tv/tv-highlights-star-trek-discovery-premieres-on-cbs/2017/09/22/044faad2-9f1a-11e7-9c8d-cf053ff30921_story.html,154308,26,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-young-sheldon-premieres-on-cbs/2017/09/24/2acfbdcc-9fa7-11e7-9083-fbfddf6804c2_story.html,153685,25,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-will-and-grace-returns-to-nbc/2017/09/27/622158bc-a38f-11e7-b14f-f41773cd5a14_story.html,153474,26,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-liar-premieres-on-sundance-tv/2017/09/26/0e760580-a2ce-11e7-8cfe-d5b912fabc99_story.html,154360,25,text/html
https://www.washingtonpost.com/entertainment/tv/in-telling-a-jewish-story-theres-sublime-transparent-and-then-theres-trite-9jkl/2017/09/29/be26a40e-a48a-11e7-ade1-76d061d56efa_story.html,165807,31,text/html
https://www.washingtonpost.com/entertainment/tv/will-and-grace-are-back-mostly-to-snark-about-life-in-trumps-america/2017/09/27/c0ff9886-a244-11e7-ade1-76d061d56efa_story.html,160857,29,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/26/late-night-hosts-mock-trumps-nfl-feud-how-can-one-person-be-on-the-wrong-side-of-everything/,165620,36,text/html
https://www.washingtonpost.com/entertainment/celebrities/top-actresses-marvel-at-givenchys-new-chapter-in-paris/2017/10/01/2840dc22-a6b3-11e7-9a98-07140d2eed02_story.html?tid=pm_entertainment_pop,159311,25,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-tin-star-and-big-mouth-premiere/2017/09/28/ba78bb70-a463-11e7-8cfe-d5b912fabc99_story.html,152995,25,text/html
https://www.washingtonpost.com/news/dc-sports-bog/wp/2017/09/29/a-redskins-player-offered-a-college-kid-free-tickets-in-exchange-for-charity-work/?utm_term=.969acfe6cf35,164965,39,text/html
https://www.washingtonpost.com/news/dc-sports-bog/wp/2017/09/30/whats-gotten-into-the-redskins-defensive-line-tomsula/?utm_term=.d665532737db,168233,37,text/html
https://www.washingtonpost.com/news/sports/wp/2017/09/29/fantasy-football-2017-nfl-week-4-cheat-sheet/,259143,48,text/html
https://www.washingtonpost.com/news/sports/wp/2017/09/28/marcus-mariotas-breakout-is-coming-and-the-long-term-looks-very-very-bright/,251148,35,text/html
https://www.washingtonpost.com/news/sports/wp/2017/09/29/no-settlement-talks-between-nfl-nflpa-as-ezekiel-elliott-case-returns-to-court-monday/?utm_term=.435c4ed0f576,159719,28,text/html
https://www.washingtonpost.com/news/sports/wp/2017/09/26/five-fantasy-football-moves-you-need-to-make-for-week-4/?utm_term=.4a5cda06cb32,268370,32,text/html
https://www.washingtonpost.com/news/football-insider/wp/2017/09/29/five-story-lines-to-follow-in-monday-nights-redskins-chiefs-matchup/?utm_term=.030cc4cf72b0,250703,35,text/html
https://www.washingtonpost.com/news/sports/wp/2017/09/28/fantasy-football-scout-can-jay-ajayi-take-advantage-of-a-jolly-good-matchup/,259720,40,text/html
https://www.washingtonpost.com/news/sports/wp/2017/09/28/deshaun-watson-will-make-the-nfl-teams-who-passed-on-him-regret-it/,168135,39,text/html
https://www.washingtonpost.com/news/sports/wp/2017/09/27/the-best-and-worst-fantasy-football-matchups-for-week-4/,280498,42,text/html
https://www.washingtonpost.com/amphtml/news/sports/wp/2017/10/01/nfl-week-4-fox-plans-to-skip-anthems-as-players-mull-next-step-in-protest-trump-tweets-injuries-fantasy-news/,53713,58,text/html
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/world-map-600.jpg?c=972,83729,0,image/jpeg
https://www.washingtonpost.com/lifestyle/fashion/?nid=menu_nav_lifestyle-fashion,213000,80,text/html
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/tax-280.jpg?c=849,25581,0,image/jpeg
https://www.washingtonpost.com/favicon.ico,25653,0,image/x-icon
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/compare-map-280.jpg?c=685,11623,0,image/jpeg
https://www.washingtonpost.com/goingoutguide/museums/?nid=menu_nav_entertainment-museums,202714,84,text/html
https://www.washingtonpost.com/wp-srv/graphics/templates/mobile/ico/apple-touch-icon-144-precomposed.png,8117,0,image/png
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/representation-600.jpg?c=646,19884,0,image/jpeg
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/vote-280.jpg?c=395,21625,0,image/jpeg
